gate_id,stream,gate,measurement_folder,source_kind,source_path,context,matched_terms,required_group_hits,matched_required_group_count,required_group_count,evidence_status,caveat,acceptance_needed,excerpt
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 10,projection, | projection | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.",SOTA___OGS___Mont_Terri.zip ogs_settings/04_media_TRM.xml model_projection_inputs; report_context 1950 .xml model_projection_inputs cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/04_media_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/04_media_TRM.xml;cd...
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 100,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2019/11-2019/2019-11_open_timesteps.txt ert 588 .txt ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1000,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_29.vtk ert 552259 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1001,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_3.vtk ert 552358 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1002,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_30.vtk ert 552223 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1003,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_4.vtk ert 552298 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1004,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_5.vtk ert 552386 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1005,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_6.vtk ert 552292 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1006,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_7.vtk ert 552258 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1007,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_8.vtk ert 552302 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
ert_transform_support,ert_resistivity,ERT_TRANSFORM_SUPPORT,,archive_member_catalog.csv,measurements/archive_member_catalog.csv,row 1008,ert,ert |  | ,1,3,supporting_context_only,"Search terms match, but not all gate-specific acceptance groups are present in this local context.","ERT coordinate frame, exact transform into OGS local frame, and accepted support mask/polygon.","cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip Niche open/2022/06-2022/dcinv.result_9.vtk ert 552258 .vtk ert cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip ERT open-niche archive member; VTK/timestep series kept in archive because the zip has 1,736 data files."
