run_id,stream,status,objective_or_loss,rank,rows_used,groups_or_series,rmse_or_mae,source_artifact,caveat
broad_continuous_001_003_length_0p021m,active_direct_permeability_plus_raw_nmr,available_from_nmr_bias_audit,3169.3095993832085,56.0,192,17,5.495717620154148,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,active objective includes direct pulse-test permeability plus raw absolute NMR theta residuals
broad_continuous_001_003_length_0p021m,nmr_label_bias,available_from_nmr_bias_audit,505.614305828437,1.0,192,17,1.5671905391317007,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,diagnostic alternative for label/campaign bias; not the current default objective
broad_continuous_001_003_length_0p021m,nmr_within_label_trend_anomaly,available_from_nmr_bias_audit,505.614305828437,1.0,192,17,1.5671905391317007,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,"preferred provisional NMR policy, but final NMR policy is not selected"
broad_continuous_001_003_length_0p021m,ert_log_resistivity_diagnostic,available_from_ert_discrimination_audit,0.2551414513252906,60.0,162800,80,0.3005116562683941,inversion_workflow/ert_candidate_discrimination_audit.csv,ERT remains diagnostic until transform/support and uncertainty gates are closed
broad_continuous_001_003_length_0p021m,taupe_tdr_trend_diagnostic,available_from_taupe_discrimination_audit,1.8661605527210643,62.0,1860,12,2.355809077780428,inversion_workflow/taupe_candidate_discrimination_audit.csv,Taupe/TDR remains diagnostic until unit/calibration and uncertainty gates are closed
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,active_direct_permeability_plus_raw_nmr,available_from_nmr_bias_audit,3156.353066948979,1.0,192,17,5.483436241919646,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,active objective includes direct pulse-test permeability plus raw absolute NMR theta residuals
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,nmr_label_bias,available_from_nmr_bias_audit,505.6374423059367,14.0,192,17,1.567307222329484,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,diagnostic alternative for label/campaign bias; not the current default objective
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,nmr_within_label_trend_anomaly,available_from_nmr_bias_audit,505.6374423059367,14.0,192,17,1.5673072223294842,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,"preferred provisional NMR policy, but final NMR policy is not selected"
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,ert_log_resistivity_diagnostic,available_from_ert_discrimination_audit,0.2541796182834413,8.0,162800,80,0.2999655432285216,inversion_workflow/ert_candidate_discrimination_audit.csv,ERT remains diagnostic until transform/support and uncertainty gates are closed
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,taupe_tdr_trend_diagnostic,available_from_taupe_discrimination_audit,1.863211058631399,29.0,1860,12,2.3542717467881773,inversion_workflow/taupe_candidate_discrimination_audit.csv,Taupe/TDR remains diagnostic until unit/calibration and uncertainty gates are closed
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,active_direct_permeability_plus_raw_nmr,available_from_nmr_bias_audit,3156.3542661780352,2.0,192,17,5.4834373809835,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,active objective includes direct pulse-test permeability plus raw absolute NMR theta residuals
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,nmr_label_bias,available_from_nmr_bias_audit,505.63743722410754,13.0,192,17,1.56730720544201,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,diagnostic alternative for label/campaign bias; not the current default objective
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,nmr_within_label_trend_anomaly,available_from_nmr_bias_audit,505.63743722410754,13.0,192,17,1.56730720544201,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,"preferred provisional NMR policy, but final NMR policy is not selected"
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,ert_log_resistivity_diagnostic,available_from_ert_discrimination_audit,0.2541793946766635,6.0,162800,80,0.299965309911929,inversion_workflow/ert_candidate_discrimination_audit.csv,ERT remains diagnostic until transform/support and uncertainty gates are closed
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,taupe_tdr_trend_diagnostic,available_from_taupe_discrimination_audit,1.8632029805911825,18.0,1860,12,2.35426272831001,inversion_workflow/taupe_candidate_discrimination_audit.csv,Taupe/TDR remains diagnostic until unit/calibration and uncertainty gates are closed
local_bracketed_003_length_0p031m,active_direct_permeability_plus_raw_nmr,available_from_nmr_bias_audit,3219.345218679995,62.0,192,17,5.541471526251375,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,active objective includes direct pulse-test permeability plus raw absolute NMR theta residuals
local_bracketed_003_length_0p031m,nmr_label_bias,available_from_nmr_bias_audit,506.5840584903401,41.0,192,17,1.5652405324036218,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,diagnostic alternative for label/campaign bias; not the current default objective
local_bracketed_003_length_0p031m,nmr_within_label_trend_anomaly,available_from_nmr_bias_audit,506.58405849034006,41.0,192,17,1.5652405324036218,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,"preferred provisional NMR policy, but final NMR policy is not selected"
local_bracketed_003_length_0p031m,ert_log_resistivity_diagnostic,available_from_ert_discrimination_audit,0.2634362231147517,63.0,162800,80,0.3102634485950932,inversion_workflow/ert_candidate_discrimination_audit.csv,ERT remains diagnostic until transform/support and uncertainty gates are closed
local_bracketed_003_length_0p031m,taupe_tdr_trend_diagnostic,available_from_taupe_discrimination_audit,1.8320808005603844,3.0,1860,12,2.321319519720716,inversion_workflow/taupe_candidate_discrimination_audit.csv,Taupe/TDR remains diagnostic until unit/calibration and uncertainty gates are closed
production_sampler_round3_002_length_0p028m_shift_1p050,active_direct_permeability_plus_raw_nmr,available_from_nmr_bias_audit,3167.879479569597,53.0,192,17,5.493166416513838,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,active objective includes direct pulse-test permeability plus raw absolute NMR theta residuals
production_sampler_round3_002_length_0p028m_shift_1p050,nmr_label_bias,available_from_nmr_bias_audit,506.8737557705009,48.0,192,17,1.5671846274795551,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,diagnostic alternative for label/campaign bias; not the current default objective
production_sampler_round3_002_length_0p028m_shift_1p050,nmr_within_label_trend_anomaly,available_from_nmr_bias_audit,506.8737557705009,48.0,192,17,1.5671846274795551,inversion_workflow/nmr_candidate_bias_sensitivity_audit.csv,"preferred provisional NMR policy, but final NMR policy is not selected"
production_sampler_round3_002_length_0p028m_shift_1p050,ert_log_resistivity_diagnostic,available_from_ert_discrimination_audit,0.2547140189867687,49.0,162800,80,0.300099726520727,inversion_workflow/ert_candidate_discrimination_audit.csv,ERT remains diagnostic until transform/support and uncertainty gates are closed
production_sampler_round3_002_length_0p028m_shift_1p050,taupe_tdr_trend_diagnostic,available_from_taupe_discrimination_audit,1.8506463001555136,4.0,1860,12,2.335650786761113,inversion_workflow/taupe_candidate_discrimination_audit.csv,Taupe/TDR remains diagnostic until unit/calibration and uncertainty gates are closed
